Popularity,danceability,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class,key_sin,key_cos
44.0,0.341,-4.581,1,0.0406,2.32e-05,0.11867152971749864,0.126632650933366,0.477,78.948,180601.0,4,6,-1.0,-1.8369701987210297e-16
71.0,0.623,-8.212,1,0.0304,0.336,4.5998942032444214e-05,0.13714983814723364,0.895,121.119,243827.0,4,10,-1.0,-1.8369701987210297e-16
59.0,0.371,-5.533,1,0.0784,0.0113,2.6999635506560865e-05,0.35767444427181594,0.508,109.675,220538.0,4,10,-1.0,-1.8369701987210297e-16
53.0,0.393,-5.566,1,0.0582,3.11e-05,0.02615495747685121,0.11332868530700317,0.378,155.013,228738.0,4,8,-0.5000000000000001,-0.8660254037844386
49.0,0.498,-4.793,1,0.0602,0.000121,2.5599672325592297e-05,0.30674913516900665,0.31,106.275,213000.0,4,8,0.8660254037844386,0.5000000000000001
55.0,0.281,-10.798,0,0.375,0.00195,4.689890022938603e-05,0.08755289700786152,0.0381,136.851,348093.0,4,8,0.8660254037844387,-0.4999999999999998
48.0,0.527,-5.224,1,0.0513,0.00102,0.016463726030665083,0.18647956694261833,0.62,125.994,258564.0,4,8,0.49999999999999994,0.8660254037844387
79.0,0.54,-11.822,1,0.0285,0.000202,0.3038014543316642,0.13190507087993858,0.113,110.171,295516.0,4,10,0.8660254037844386,0.5000000000000001
50.0,0.755,-13.906,1,0.346,0.0127,0.16344613607000308,0.5247285289349821,0.651,99.771,302800.0,4,5,-0.5000000000000001,-0.8660254037844386
82.0,0.933,-6.472,0,0.161,0.112,0.2715526905218973,0.1510028735365274,0.754,109.967,214653.0,4,10,0.49999999999999994,-0.8660254037844387
54.0,0.505,-7.15,1,0.0454,0.0415,6.119812735640346e-05,0.11064652008706366,0.477,81.454,232480.0,4,6,-1.0,-1.8369701987210297e-16
17.0,0.843,-6.176,0,0.0548,0.0401,0.003274632533657261,0.11778303565638346,0.894,125.024,235392.0,4,2,0.49999999999999994,-0.8660254037844387
27.0,0.765,-9.578,1,0.0374,0.533,0.016857117066422903,0.11332868530700317,0.277,121.957,267358.0,4,2,-0.5000000000000001,-0.8660254037844386
75.0,0.791,-5.215,0,0.052,0.147,0.0003809274379301807,0.0688728642863754,0.761,114.98,192360.0,4,9,1.2246467991473532e-16,-1.0
73.0,0.603,-3.777,0,0.0837,0.00045,0.16344613607000308,0.23111172096338664,0.395,126.025,229933.0,4,10,0.49999999999999994,-0.8660254037844387
78.0,0.868,-7.052,0,0.181,0.0597,0.0039820610605721864,0.10074990310014306,0.396,114.999,156911.0,4,9,1.2246467991473532e-16,-1.0
63.0,0.401,-10.532,1,0.0513,0.0828,0.0003589355749186083,0.4631048875545789,0.654,85.206,275867.0,4,10,0.8660254037844386,0.5000000000000001
41.0,0.258,-5.972,0,0.0701,8.2e-06,0.48673782823690076,0.34571510370239034,0.253,93.727,249853.0,4,8,-0.5000000000000004,0.8660254037844384
40.0,0.525,-6.253,0,0.0291,0.247,0.555033878430311,0.1380212978973747,0.839,144.583,115925.0,4,10,-0.5000000000000001,-0.8660254037844386
41.0,0.6,-8.143,1,0.0326,0.353,0.14669437915080352,0.09893994785490356,0.595,119.053,182907.0,4,10,,
16.0,0.381,-12.227,1,0.0324,0.314,0.6502396795486689,0.10616019582839065,0.0739,108.029,404696.0,4,10,-0.5000000000000001,-0.8660254037844386
47.0,0.675,-6.251,1,0.0234,0.247,0.37156355643248307,0.10165365372649983,0.662,108.002,202778.0,4,1,-0.8660254037844386,0.5000000000000001
51.0,0.537,-9.88,1,0.0377,0.00393,0.1722712209404532,0.08065790301745447,0.77,131.307,295693.0,4,2,-0.5000000000000004,0.8660254037844384
33.0,0.683,-7.296,1,0.0515,0.257,0.0003409418727138943,0.126632650933366,0.854,110.426,279640.0,4,2,-1.0,-1.8369701987210297e-16
58.0,0.363,-8.089,1,0.06,0.0117,0.005992011985995316,0.17311261770864478,0.718,156.047,266533.0,4,10,,
32.0,0.448,-7.411,1,0.0406,0.146,1.3799904780876016e-05,0.10165365372649983,0.228,123.641,368746.99997999996,4,9,0.8660254037844386,0.5000000000000001
31.0,0.467,-10.471,1,0.103,0.16,0.0002749621944308622,0.1275133202989596,0.557,100.832,281538.0,3,1,1.2246467991473532e-16,-1.0
20.0,0.723,-15.958,1,0.0382,0.55,0.2919230667090355,0.10885440491208209,0.842,81.47,356773.0,4,2,0.49999999999999994,-0.8660254037844387
57.0,0.581,-8.169,0,0.0357,0.00698,2.9299957075583845e-06,0.09239684926596758,0.449,83.904,234013.0,4,1,0.49999999999999994,-0.8660254037844387
35.0,0.46,-9.045,1,0.0385,0.118,0.5922212619699848,0.17730901497041035,0.578,159.026,181321.0,4,9,-0.5000000000000004,0.8660254037844384
42.0,0.417,-2.639,1,0.357,0.000367,0.16344613607000308,0.22234323114344062,0.805,177.645,113120.0,4,5,0.8660254037844386,0.5000000000000001
37.0,0.336,-8.483,0,0.0544,0.171,4.239991011225409e-06,0.06400712997429238,0.258,136.92,208553.0,4,9,0.8660254037844386,0.5000000000000001
63.0,0.619,-7.369,1,0.0286,0.015,0.16344613607000308,0.3177261938001576,0.936,105.205,246307.0,4,10,0.8660254037844386,0.5000000000000001
27.0,0.31,-3.876,1,0.104,0.000607,0.0007687044709981632,0.2836740510542421,0.146,181.958,201718.0,3,8,-0.5000000000000001,-0.8660254037844386
,0.589,-5.533,1,0.0313,0.427,0.16344613607000308,0.05429877340737881,0.795,204.003,249880.00001999998,4,4,-0.8660254037844385,-0.5000000000000004
63.0,0.552,-4.941,1,0.204,0.706,1.2499921875651037e-05,0.07176236622689076,0.804,67.379,176471.0,3,9,-0.8660254037844386,0.5000000000000001
32.0,0.483,-2.832,1,0.159,0.000114,0.16344613607000308,0.6760010217249748,0.327,93.455,209197.0,4,8,-0.8660254037844385,-0.5000000000000004
75.0,0.372,-7.623,1,0.0305,0.937,0.6275414234619514,0.2523139286139896,0.228,123.735,212750.0,3,9,-1.0,-1.8369701987210297e-16
70.0,0.616,-3.004,1,0.0386,0.0459,0.16344613607000308,0.29490591754110057,0.693,144.072,252040.0,4,10,,
10.0,0.671,-5.381,1,0.0339,0.033,0.0009995003330835331,0.29416103854949005,0.765,113.028,254000.0,4,2,-0.5000000000000001,-0.8660254037844386
41.0,0.405,-2.572,1,0.0327,5.43e-05,0.048885397729810626,0.2110709700799405,0.705,157.228,214067.0,4,10,0.8660254037844386,0.5000000000000001
44.0,0.554,-6.864,1,0.0362,0.0779,0.010544213875671154,0.2934156042995415,0.512,142.339,130720.0,4,10,0.8660254037844386,0.5000000000000001
17.0,0.211,-3.79,1,0.187,6.51e-06,0.01153323581367303,0.11955923505763925,0.263,171.662,305160.0,4,8,,
50.0,0.584,-3.635,0,0.0652,0.00698,0.00019998000266626675,0.08571887540253752,0.703,149.976,192107.0,4,9,-0.8660254037844386,0.5000000000000001
52.0,0.529,-7.203,1,0.0881,8.05e-05,0.03816246109434892,0.09893994785490356,0.133,115.002,246500.0,4,8,-0.8660254037844385,-0.5000000000000004
36.0,0.365,-6.984,1,0.114,0.597,2.0699785757956533e-05,0.678541028170583,0.324,82.434,470413.0,4,2,0.8660254037844386,0.5000000000000001
61.0,0.415,-3.124,1,0.0428,0.00987,0.30821972366932904,0.1275133202989596,0.424,128.216,225333.0,4,10,0.8660254037844386,0.5000000000000001
44.0,0.385,-4.705,0,0.107,0.000131,0.16344613607000308,0.2199384203652614,0.501,170.131,218280.0,4,8,0.49999999999999994,-0.8660254037844387
47.0,0.725,-6.934,1,0.0288,0.000697,0.0016087053394160818,0.20945022418220727,0.86,127.523,206160.0,4,10,,
62.0,0.463,-4.085,1,0.0437,0.013,2.4099709599665757e-05,0.09203208544649367,0.26,94.035,186867.0,4,9,1.0,6.123233995736766e-17
71.0,0.555,-2.969,1,0.0367,0.016,0.16344613607000308,0.3400373027857091,0.723,132.085,220906.99998,4,4,-0.8660254037844385,-0.5000000000000004
50.0,0.469,-16.981,1,0.0364,0.407,0.0424846116061553,0.1947440767925118,0.415,82.232,399173.0,4,2,-0.5000000000000001,-0.8660254037844386
47.0,0.354,-4.817,1,0.065,0.00501,0.024204688696817394,0.2986220124901153,0.388,129.879,195130.0,4,6,-0.5000000000000004,0.8660254037844384
30.0,0.488,-8.366,1,0.0497,0.225,0.001558784463993243,0.5469646703818639,0.724,146.566,533667.0,4,10,-1.0,-1.8369701987210297e-16
60.0,0.458,-3.226,0,0.0322,0.346,6.139981150277158e-06,0.12221763272424921,0.224,113.072,167907.0,3,8,-0.8660254037844385,-0.5000000000000004
46.0,0.558,-5.625,1,0.0288,0.0244,0.25696509978972043,0.09267033484130818,0.448,141.995,304714.0,4,9,1.2246467991473532e-16,-1.0
46.0,0.554,-6.156,1,0.0486,0.114,1.86999825155218e-06,0.1856493468866293,0.372,120.893,258107.0,3,1,-0.5000000000000001,-0.8660254037844386
55.0,0.616,-8.101,1,0.042,0.788,3.1599950072105178e-06,0.12044615307586716,0.809,81.402,124587.0,3,10,-1.0,-1.8369701987210297e-16
50.0,0.461,-8.688,0,0.0436,0.0243,0.3722529739020508,0.1097508639591192,0.798,166.019,188786.0,4,10,,
24.0,0.269,-8.632,0,0.0301,0.936,2.03999791920283e-06,0.10345870836822998,0.143,80.073,161344.00002,4,9,,
17.0,0.414,-7.315,1,0.0879,0.768,0.16344613607000308,0.08590242900070338,0.742,168.025,319666.99998,3,9,0.49999999999999994,0.8660254037844387
60.0,0.62,-4.011,1,0.221,0.0728,7.149744399683543e-05,0.22234323114344062,0.291,106.236,336440.0,4,8,0.49999999999999994,0.8660254037844387
48.0,0.232,-6.255,1,0.0428,0.000118,0.00022597446584707325,0.11243542932978817,0.323,165.906,366267.0,4,9,-0.5000000000000004,0.8660254037844384
50.0,0.449,-5.601,0,0.0837,0.00286,1.6399865521470294e-05,0.29042829811980614,0.208,145.976,264457.0,4,8,-0.5000000000000004,0.8660254037844384
49.0,0.684,-10.836,1,0.03,0.708,0.16344613607000308,0.31115442863692305,0.905,131.855,123133.00002,4,4,0.8660254037844387,-0.4999999999999998
33.0,0.441,-4.03,1,0.095,0.0109,0.3798053613275868,0.22554067591393126,0.465,119.141,310729.0,3,2,-0.8660254037844385,-0.5000000000000004
32.0,0.558,-11.802,1,0.0343,0.754,0.0016985566355814771,0.10436001532424277,0.286,73.868,205107.0,4,2,-0.5000000000000001,-0.8660254037844386
56.0,0.664,-6.519,1,0.0277,0.613,0.00036293413143970946,0.0822249402556694,0.566,76.023,160096.9998,4,0,0.49999999999999994,-0.8660254037844387
82.0,0.73,-3.434,0,0.0883,0.167,1.3899990339508953e-06,0.2993635772256188,0.467,113.013,221820.0,4,9,0.8660254037844387,-0.4999999999999998
60.0,0.92,-4.555,1,0.0444,0.0222,7.619709692747514e-05,0.10795714150509228,0.974,135.923,314557.0,4,1,-0.5000000000000001,-0.8660254037844386
37.0,0.469,-8.452,1,0.0286,0.682,0.0007157437942882322,0.11243542932978817,0.237,107.865,370760.0,3,2,-0.8660254037844386,0.5000000000000001
32.0,0.688,-6.046,0,0.0323,0.164,0.0026664418820427746,0.11422114409002286,0.883,110.981,293507.0,4,2,0.8660254037844387,-0.4999999999999998
59.0,0.459,-4.1,1,0.0476,0.000491,0.02634977532278202,0.11154137473290741,0.338,147.943,237533.0,4,6,-1.0,-1.8369701987210297e-16
44.0,0.419,-9.957,0,0.054,0.798,0.046501833651419786,0.12133228516752496,0.341,125.144,229500.0,1,6,-0.8660254037844386,0.5000000000000001
,0.519,-5.691,1,0.0554,0.00609,0.00030195440717912365,0.25309062768216184,0.627,150.014,237707.0,4,8,,
45.0,0.235,-6.408,0,0.0647,0.000133,0.0009375603529045045,0.07306457085700514,0.305,142.939,337307.0,3,8,-1.0,-1.8369701987210297e-16
40.0,0.352,-3.727,1,0.0586,4.13e-05,0.00048788096672391804,0.1889660995126232,0.264,82.589,311083.0,4,8,-0.8660254037844385,-0.5000000000000004
52.0,0.657,-9.344,1,0.0283,0.0892,0.16344613607000308,0.05590763193829599,0.908,123.799,282867.0,4,9,0.49999999999999994,0.8660254037844387
48.0,0.686,-3.154,0,0.0304,0.00575,0.04181350281341039,0.11778303565638346,0.648,129.971,198020.0,4,1,0.49999999999999994,-0.8660254037844387
81.0,0.589,-3.719,0,0.0603,0.000481,0.0008196639836763769,0.18315454309784648,0.692,90.598,199907.0,4,8,0.8660254037844387,-0.4999999999999998
73.0,0.611,-7.372,1,0.037,0.117,0.0010094902931737258,0.1231021971339834,0.258,74.991,227080.0,4,6,0.49999999999999994,-0.8660254037844387
20.0,0.319,-5.512,0,0.0677,0.000128,0.0010094902931737258,0.3228078744271551,0.104,124.944,372333.0,4,8,0.8660254037844387,-0.4999999999999998
63.0,0.666,-6.457,1,0.0399,0.0874,8.409964636148275e-06,0.289680075114454,0.919,117.14,284373.0,4,10,0.8660254037844387,-0.4999999999999998
37.0,0.276,-6.351,1,0.124,3.47e-06,0.6386909947638865,0.46058440732924394,0.0323,179.923,517746.0,3,8,,
64.0,0.402,-4.089,0,0.156,0.00021,0.16344613607000308,0.21268909341035083,0.443,180.075,197209.0,4,9,-0.5000000000000001,-0.8660254037844386
50.0,0.823,-7.372,1,0.0889,0.000497,0.0005418531710517976,0.13102826240640408,0.46,107.996,194438.0,4,9,0.49999999999999994,0.8660254037844387
41.0,0.806,-11.02,1,0.0535,0.0251,0.17142911562753096,0.03998964821615847,0.932,113.544,214227.0,4,10,-1.0,-1.8369701987210297e-16
58.0,0.491,-4.729,1,0.0765,0.00929,0.16344613607000308,0.10074990310014306,0.607,156.031,247760.0,4,9,-1.0,-1.8369701987210297e-16
44.0,0.411,-4.867,1,0.0392,0.000243,0.0008196639836763769,0.08901769631765273,0.613,106.675,230027.0,4,2,0.8660254037844386,0.5000000000000001
55.0,0.565,-8.505,0,0.0376,0.0839,0.05078816683210506,0.08314558108666886,0.486,130.983,295480.0,4,10,-0.5000000000000004,0.8660254037844384
58.0,0.623,-3.934,1,0.103,0.00386,0.005733531847760544,0.4586898693454621,0.684,146.318,211813.0,4,10,-1.0,-1.8369701987210297e-16
30.0,0.468,-2.301,1,0.0378,0.00247,0.4330802751411378,0.211880359035499,0.538,133.052,215573.0,4,10,-1.0,-1.8369701987210297e-16
71.0,0.577,-6.905,1,0.0365,0.00339,0.00033194490019508615,0.18979357163265562,0.335,75.752,195514.99998,4,4,0.8660254037844386,0.5000000000000001
62.0,0.466,-3.314,1,0.125,0.0016,0.0024170765156048776,0.3008450589780618,0.499,165.107,222147.0,4,1,0.49999999999999994,-0.8660254037844387
22.0,0.488,-11.406,0,0.0359,0.0241,0.02039068964773403,0.12133228516752496,0.125,181.99,197485.00002,3,6,-1.0,-1.8369701987210297e-16
58.0,0.592,-7.09,1,0.0544,0.109,0.18315454309784648,0.4643627493556498,0.695,104.977,188143.0,4,6,0.49999999999999994,-0.8660254037844387
51.0,0.6,-6.972,0,0.0284,0.558,0.16344613607000308,0.2183319943169877,0.287,116.016,202080.0,4,1,-0.5000000000000004,0.8660254037844384
26.0,0.409,-6.833,1,0.0961,2.26e-05,0.5481214085096876,0.19556678354397528,0.167,134.997,381543.0,4,8,1.2246467991473532e-16,-1.0
50.0,0.551,-5.771,1,0.046,0.0116,0.003244730164889054,0.14236724128692196,0.68,121.541,245000.0,4,9,,
38.0,0.198,-3.874,1,0.21,0.000245,0.003204858948911363,0.15871169115482087,0.191,163.424,214467.0,4,10,,
32.0,0.546,-12.635,0,0.0317,0.782,0.08231704248921366,0.13190507087993858,0.101,60.037,254145.0,4,2,-0.8660254037844386,0.5000000000000001
62.0,0.612,-15.867,1,0.0302,0.936,0.16344613607000308,0.10345870836822998,0.637,78.393,153105.0,4,0,,
75.0,0.49,-6.491,1,0.0297,0.000671,0.3947411447451887,0.0880108773227133,0.435,112.114,371413.0,4,10,-0.5000000000000001,-0.8660254037844386
56.0,0.692,-4.226,1,0.0498,0.111,0.0012292441697173459,0.04305948946044697,0.973,119.902,195733.0,4,6,,
74.0,0.494,-3.127,1,0.126,0.00666,0.16344613607000308,0.1301506844650451,0.893,177.751,175093.0,4,9,0.49999999999999994,0.8660254037844387
28.0,0.408,-3.663,0,0.153,0.000125,0.05496155807397434,0.3604677421774286,0.389,104.966,256880.0,4,8,0.49999999999999994,0.8660254037844387
41.0,0.306,-7.566,1,0.032,0.017,0.27990188513281866,0.0740865433526982,0.221,150.1,243453.0,4,9,0.8660254037844386,0.5000000000000001
50.0,0.43,-4.541,1,0.105,0.261,0.002616573783153973,0.14410034397375684,0.79,135.96,153160.0,4,10,,
43.0,0.299,-12.181,0,0.0479,0.00107,0.012027380212718455,0.09712671073072274,0.637,103.465,271373.0,4,8,0.8660254037844387,-0.4999999999999998
30.0,0.38,-7.79,0,0.0335,0.00156,0.0008886050735424155,0.09893994785490356,0.514,83.772,318023.0,4,10,0.49999999999999994,0.8660254037844387
65.0,0.441,-7.495,0,0.031,0.374,0.0008476406511375407,0.10255658832509207,0.971,199.001,141000.0,4,9,-1.0,-1.8369701987210297e-16
43.0,0.611,-20.543,1,0.0503,0.964,0.00013999020091457062,0.08645288773019902,0.763,104.233,227733.0,4,2,-1.0,-1.8369701987210297e-16
61.0,0.549,-10.479,1,0.0455,0.732,0.16344613607000308,0.11064652008706366,0.506,76.028,198777.0,5,9,0.8660254037844387,-0.4999999999999998
,0.702,-5.588,0,0.0778,0.000381,0.4498009219282161,0.032757564238172186,0.977,150.019,151267.0,4,6,-0.5000000000000004,0.8660254037844384
54.0,0.572,-3.159,1,0.0867,0.0247,0.00022097558309735742,0.14755756435761466,0.726,127.667,226520.0,4,10,-0.5000000000000004,0.8660254037844384
49.0,0.661,-5.859,1,0.0402,0.00302,0.16344613607000308,0.6216511788548753,0.813,119.978,178600.0,4,6,0.8660254037844387,-0.4999999999999998
50.0,0.472,-0.578,1,0.16,0.00687,0.16344613607000308,0.33074156191222787,0.114,117.004,260017.0,4,8,0.49999999999999994,0.8660254037844387
56.0,0.408,-3.187,0,0.168,0.000142,5.4199853118530735e-06,0.23111172096338664,0.341,155.124,189060.0,4,9,-0.8660254037844385,-0.5000000000000004
27.0,0.648,-5.064,1,0.0397,0.131,0.0015487999898504523,0.1097508639591192,0.484,125.153,194116.0,4,10,-0.8660254037844385,-0.5000000000000004
39.0,0.329,-11.925,1,0.0596,0.0565,0.19062035960864973,0.3038014543316642,0.619,142.625,181760.0,4,10,0.49999999999999994,0.8660254037844387
71.0,0.365,-13.034,0,0.0357,0.0208,0.00014698919655872425,0.18647956694261833,0.739,80.647,331200.0,4,10,-0.5000000000000001,-0.8660254037844386
40.0,0.406,-9.195,1,0.101,0.503,0.16344613607000308,0.5019866750987863,0.265,75.067,119261.0,4,1,-0.5000000000000001,-0.8660254037844386
54.0,0.739,-5.668,1,0.0363,0.39,0.16344613607000308,0.07557118684707402,0.978,137.013,156933.0,4,9,-0.5000000000000001,-0.8660254037844386
23.0,0.698,-9.719,1,0.0361,0.186,0.001468920607674999,0.23190505698278252,0.635,109.893,112693.0,4,10,-0.5000000000000001,-0.8660254037844386
60.0,0.466,-19.537,1,0.0457,0.879,0.05410932564703195,0.2934156042995415,0.216,128.811,199640.0,4,2,-1.0,-1.8369701987210297e-16
61.0,0.596,-5.562,1,0.0261,0.359,0.16344613607000308,0.3074846997479606,0.705,146.095,233880.0,4,4,0.8660254037844386,0.5000000000000001
44.0,0.491,-5.743,0,0.0422,4.69e-05,0.16344613607000308,0.2577381960787088,0.334,140.005,219998.0,4,8,0.8660254037844386,0.5000000000000001
37.0,0.505,-4.717,0,0.0561,3.71e-05,0.009157937784765629,0.18813794211539445,0.494,123.928,204733.0,4,2,0.49999999999999994,-0.8660254037844387
15.0,0.628,-7.47,0,0.0487,0.295,0.6037693694087286,0.128393214768399,0.436,86.049,350930.0,4,6,-0.5000000000000001,-0.8660254037844386
32.0,0.537,-7.576,1,0.054,0.757,0.16344613607000308,0.27914574142949455,0.41,173.915,155172.0,4,9,-0.8660254037844386,0.5000000000000001
22.0,0.646,-9.429,1,0.108,0.745,0.00014898890060252646,0.09712671073072274,0.143,95.018,181771.00002,4,9,-0.5000000000000001,-0.8660254037844386
40.0,0.64,-9.796,0,0.0331,0.225,0.16344613607000308,0.07659060216171255,0.15,80.007,211875.0,4,1,0.8660254037844387,-0.4999999999999998
71.0,0.576,-3.981,1,0.0462,0.02,1.6799985888015805e-06,0.520577915208669,0.609,97.225,272973.0,4,8,1.2246467991473532e-16,-1.0
42.0,0.403,-4.947,1,0.288,0.000182,0.00043890366769222425,0.1414995622736995,0.147,200.073,186000.0,4,8,0.8660254037844386,0.5000000000000001
71.0,0.714,-9.378,0,0.195,0.436,2.2999735504055597e-05,0.2468600779315258,0.67,91.025,139293.0,4,9,0.8660254037844387,-0.4999999999999998
31.0,0.65,-6.691,0,0.0283,0.0291,7.979681614937973e-05,0.37156355643248307,0.256,108.013,291507.0,4,10,-1.0,-1.8369701987210297e-16
80.0,0.532,-5.509,1,0.0574,0.00287,0.0005128684604845916,0.3293037471426004,0.755,127.361,210173.0,4,10,-0.5000000000000001,-0.8660254037844386
12.0,0.505,-12.355,0,0.0508,0.976,1.6399986552014702e-06,0.13627761829254784,0.709,148.791,201160.00001999998,3,9,0.8660254037844387,-0.4999999999999998
45.0,0.522,-2.586,0,0.18,0.00165,0.16344613607000308,0.5872309549683962,0.495,89.946,148419.0,4,8,0.49999999999999994,-0.8660254037844387
33.0,0.551,-5.922,1,0.141,0.064,0.07677583880204955,0.27990188513281866,0.619,176.091,184428.0,4,10,-1.0,-1.8369701987210297e-16
24.0,0.523,-12.688,1,0.0707,0.832,3.7999278018290145e-05,0.11867152971749864,0.781,81.663,260307.0,4,9,1.2246467991473532e-16,-1.0
54.0,0.541,-5.114,1,0.0529,4.33e-06,0.4681268692328754,0.5822156198526637,0.397,125.076,292587.0,3,8,,
65.0,0.401,-5.682,1,0.0344,0.00744,0.48673782823690076,0.27611543608031547,0.734,127.193,310893.0,4,6,-0.8660254037844385,-0.5000000000000004
66.0,0.411,-5.952,1,0.0917,0.103,0.16344613607000308,0.42461392694692524,0.622,173.143,172646.0,4,9,0.8660254037844387,-0.4999999999999998
72.0,0.589,-3.039,1,0.035,0.0813,0.16344613607000308,0.13627761829254784,0.793,129.915,197253.0,4,4,1.2246467991473532e-16,-1.0
31.0,0.597,-5.061,1,0.419,0.0644,0.013014937077494654,0.12221763272424921,0.427,126.012,228571.0,4,9,0.49999999999999994,0.8660254037844387
31.0,0.445,-4.045,0,0.0876,0.0644,0.16344613607000308,0.09403664192638296,0.549,153.0,217494.0,4,9,-0.8660254037844386,0.5000000000000001
54.0,0.584,-3.092,1,0.0406,0.0188,0.16344613607000308,0.27231459532065916,0.57,119.859,142444.0,4,0,-0.5000000000000004,0.8660254037844384
47.0,0.312,-6.495,1,0.0298,0.123,0.1595645696713384,0.1275133202989596,0.514,185.725,215693.0,3,4,-1.0,-1.8369701987210297e-16
53.0,0.475,-6.121,0,0.0532,0.0222,0.16344613607000308,0.5062150112083075,0.422,167.071,189693.0,4,9,-0.5000000000000004,0.8660254037844384
39.0,0.783,-7.764,0,0.0972,0.131,0.6318035503188933,0.016955440649413473,0.854,108.022,345528.0,4,6,-0.8660254037844386,0.5000000000000001
57.0,0.705,-7.271,1,0.0303,0.00149,0.00019298137789600553,0.128393214768399,0.772,125.933,216636.0,4,10,-1.0,-1.8369701987210297e-16
54.0,0.539,-4.566,1,0.0423,0.14,0.16344613607000308,0.2919230667090355,0.683,135.76,257000.0,4,1,1.2246467991473532e-16,-1.0
61.0,0.557,-7.954,1,0.0319,0.247,0.16344613607000308,0.11778303565638346,0.253,139.821,239986.99998,4,4,0.49999999999999994,0.8660254037844387
66.0,0.521,-7.699,1,0.0254,0.00348,0.011236631925987681,0.33002291294130587,0.611,97.578,328427.0,4,10,0.8660254037844386,0.5000000000000001
24.0,0.664,-16.829,1,0.117,0.912,1.8499828877110513e-05,0.10074990310014306,0.625,114.867,180140.0,4,2,,
58.0,0.509,-4.94,1,0.0331,0.436,9.979950200131335e-06,0.09267033484130818,0.538,175.159,175593.0,3,2,-0.8660254037844385,-0.5000000000000004
75.0,0.489,-5.11,1,0.0336,0.000603,0.5382462193419828,0.09621885774054292,0.77,158.009,219827.0,4,10,-1.0,-1.8369701987210297e-16
