danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
0.54,11.0,-6.52,1,0.0297,0.303,0.24059046491793043,0.10345870836822998,0.62,148.936,220609.0,4,10
0.435,11.0,-6.462,0,0.0474,2.38e-05,0.0008716200288738375,0.6259384308664953,0.344,93.896,198345.0,4,8
0.288,6.0,-5.692,0,0.0371,0.00616,0.16344613607000308,0.26466929814270806,0.619,97.094,201726.0,4,10
0.562,6.0,-15.474,1,0.0304,0.143,0.11689375147149933,0.1292723357041392,0.599,93.764,206760.0,3,10
0.683,1.0,-10.392,1,0.0473,0.549,0.16344613607000308,0.08681969195256017,0.437,80.009,157630.0,4,9
0.411,2.0,-4.867,1,0.0392,0.000243,0.0008196639836763769,0.08901769631765273,0.613,106.675,230027.0,4,10
0.49,8.0,-4.295,1,0.115,0.000546,0.20294084399669032,0.289680075114454,0.257,108.946,229617.0,4,8
0.374,10.0,-11.48,1,0.176,0.843,0.16344613607000308,0.1722712209404532,0.129,74.464,228694.0002,1,0
0.633,8.0,-14.543,1,0.0729,0.885,0.3393253056036194,0.10526051065749295,0.421,143.376,348383.0,4,2
0.523,5.0,-12.437,1,0.0325,0.103,0.0006797689047572423,0.0644760191843648,0.581,94.267,228267.0,4,10
0.593,10.0,-13.451,0,0.028,0.883,0.016562088298978293,0.275356422761144,0.758,130.225,136560.0,3,2
0.809,11.0,-11.377,1,0.0396,0.256,0.08157998699242289,0.10345870836822998,0.364,111.98,298941.0,4,9
0.748,8.0,-6.06,0,0.0489,0.0532,0.011632084229707653,0.10885440491208209,0.339,91.941,145052.0,4,5
0.529,2.0,-13.696,1,0.0375,0.0227,0.026252371144065742,0.03207989346341168,0.767,134.642,187827.0,4,2
0.167,-1.0,-19.539,1,0.0347,0.955,0.6402736909528771,0.10526051065749295,0.04,76.412,163224.0,3,7
0.543,-1.0,-5.209,1,0.0755,0.000342,0.43372857338102383,0.03217673169522125,0.354,120.097,182333.0,4,10
0.644,2.0,-5.147,1,0.0526,0.00111,0.007948328182495005,0.11154137473290741,0.504,110.007,239488.0,4,10
0.467,7.0,-11.753,1,0.0283,0.175,0.0009995003330835331,0.20375683751401966,0.238,142.642,271333.0,4,10
0.514,6.0,-11.51,0,0.409,0.0753,0.16344613607000308,0.04736057135983759,0.461,84.112,186812.0,4,5
0.381,4.0,-11.629,1,0.0337,0.944,0.16344613607000308,0.10074990310014306,0.393,127.581,215160.0,3,0
0.762,5.0,-8.016,0,0.0969,0.0288,0.16344613607000308,0.09221448398781104,0.721,156.97,158000.0,4,5
0.357,4.0,-6.168,0,0.101,0.000547,0.16344613607000308,0.13540463700620295,0.482,147.217,209682.0,4,10
0.576,7.0,-2.491,1,0.0563,0.00085,0.16344613607000308,0.13365638481267358,0.735,133.986,245747.0,4,10
0.61,5.0,-9.137,1,0.137,0.299,0.16344613607000308,0.05135829227514207,0.869,73.628,147013.0,4,9
0.491,4.0,-13.581,0,0.0566,0.625,0.5844477636366044,0.20048886074940359,0.145,159.911,258771.0,4,6
0.117,1.0,-3.281,1,0.0723,1.39e-05,0.09458264248594785,0.1980308504991345,0.423,151.886,270205.0,4,1
0.86,7.0,-8.512,1,0.221,0.423,1.8499982887521106e-06,0.0916671885258238,0.237,128.096,240000.0,4,9
0.766,10.0,-11.819,1,0.0392,0.784,0.0002139771052662571,0.08424923244489992,0.934,141.631,238000.0,4,10
0.529,11.0,-6.018,1,0.0296,0.13,0.16344613607000308,0.1595645696713384,0.617,97.189,148906.9998,4,9
0.697,7.0,-6.174,1,0.029,0.00694,0.060248080345356884,0.18481843699254183,0.943,118.341,256400.0,4,6
0.407,11.0,-6.252,1,0.113,0.00363,0.29713723122253605,0.2062008305838978,0.173,102.954,235214.0,4,8
0.564,5.0,-5.223,1,0.0433,0.00512,2.4299970475547833e-06,0.15443635330441893,0.414,152.064,212547.0,4,10
0.744,10.0,-5.628,0,0.0495,0.000409,0.4848922417394862,0.1239859797809912,0.507,123.014,171120.0,4,6
0.539,9.0,-3.227,0,0.0396,0.0089,0.16344613607000308,0.2546422183735807,0.357,159.986,196173.0,4,10
0.431,1.0,-4.555,1,0.114,0.00159,0.006379606964039027,0.13278111123381847,0.179,146.623,269440.0,4,6
0.545,2.0,-7.679,1,0.0483,0.00269,0.005106937368144673,0.09330817713365178,0.386,104.364,313573.0,4,10
0.266,7.0,-11.938,0,0.0291,0.771,0.5288619862520892,0.10165365372649983,0.0397,137.941,811077.0,3,9
0.645,2.0,-16.642,1,0.0419,0.239,0.6376344706296866,0.3184537311185346,0.184,128.099,212749.99998,4,0
0.508,-1.0,-1.798,1,0.0827,9.75e-05,1.2499992187506512e-06,0.06475724721527854,0.533,139.381,228587.0,4,10
0.579,7.0,-4.011,1,0.0422,0.0675,0.0003729304527935346,0.26466929814270806,0.374,144.909,287467.0,3,10
0.521,2.0,-6.371,1,0.0296,0.0931,0.024107075343233128,0.10074990310014306,0.273,122.271,259627.0,4,10
0.426,4.0,-11.501,0,0.0722,8.44e-05,0.00238714849249821,0.15700374880966478,0.382,162.721,168439.9998,4,10
0.449,3.0,-8.261,1,0.0431,4.62e-05,0.01587334915629015,0.2199384203652614,0.408,152.142,309827.0,4,8
0.698,-1.0,-6.993,1,0.0485,0.743,0.16344613607000308,0.1722712209404532,0.665,131.057,232413.0,4,2
0.54,5.0,-9.577,0,0.0518,0.428,0.16344613607000308,0.1972101692877053,0.239,88.047,220543.0,4,9
0.691,11.0,-10.512,1,0.0471,0.815,0.16344613607000308,0.09803374027136541,0.298,85.153,200613.0,4,0
0.58,9.0,-9.898,0,0.0582,0.181,0.007164275184018128,0.1397619423751587,0.516,115.896,201213.0,4,10
0.565,8.0,-11.636,0,0.0344,0.678,0.04325104199431494,0.07287864541257257,0.922,135.01,363333.0,3,3
0.616,7.0,-7.27,1,0.0249,0.155,0.16344613607000308,0.09440067542148432,0.618,75.027,216373.0,4,10
0.546,7.0,-5.137,1,0.0525,0.0133,0.16344613607000308,0.126632650933366,0.35,119.945,255400.0,4,1
0.618,2.0,-12.8,1,0.04,0.759,0.009574022434273188,0.10345870836822998,0.214,90.004,290466.0,4,1
0.639,1.0,-3.923,1,0.0554,0.18,0.0004988755409016722,0.07677583880204955,0.523,115.97,270104.0,4,10
0.577,8.0,-11.931,1,0.0295,0.000895,2.289997377954003e-06,0.06062462181643484,0.676,95.98,245267.0,4,8
0.551,6.0,-18.251,0,0.0312,0.71,0.0009485499841874996,0.10436001532424277,0.659,89.574,165187.0,4,6
0.454,2.0,-10.159,0,0.0417,0.406,0.000989510273193041,0.07538572690588961,0.686,97.995,205533.0,4,10
0.632,5.0,-7.227,0,0.234,0.547,0.16344613607000308,0.13714983814723364,0.496,92.757,209833.0,4,5
0.295,2.0,-6.533,1,0.0709,0.00212,1.5499987987512412e-06,0.21672298351128702,0.242,86.937,199773.0,4,10
0.77,10.0,-11.169,0,0.246,0.11,0.16344613607000308,0.07631268284916358,0.788,98.82,253413.0,4,5
0.717,7.0,-10.908,0,0.0493,0.665,0.00011899292006166954,0.32570013963930183,0.502,83.554,214933.0,4,2
0.778,1.0,-8.984,1,0.0858,0.0751,0.6070444815065336,0.09803374027136541,0.321,137.305,67720.0,4,1
0.438,7.0,-5.192,0,0.0736,4.63e-05,0.20945022418220727,0.3008450589780618,0.461,165.088,212927.0,4,8
0.451,3.0,-11.756,0,0.0587,0.0518,0.5323914016805512,0.10436001532424277,0.609,177.953,331304.0,4,6
0.617,5.0,-11.889,0,0.0319,0.742,0.4140944348062189,0.10345870836822998,0.117,151.983,387547.0,4,1
0.565,2.0,-5.332,0,0.0382,0.0277,0.16344613607000308,0.06999237182003498,0.58,124.006,223907.0,4,8
0.62,9.0,-6.711,0,0.0319,0.273,0.003384266903145199,0.10705907229340779,0.699,99.022,225072.0,4,9
0.589,9.0,-5.464,1,0.15,0.0289,4.349990538777437e-06,0.32425505268262117,0.232,102.489,291813.0,4,10
0.443,8.0,-6.935,1,0.0378,0.000843,0.0024270523242689505,0.16551443847757338,0.34,169.951,301533.0,4,8
0.605,4.0,-12.932,0,0.0353,0.98,0.6413274318301488,0.09893994785490356,0.126,95.576,344113.00002000004,3,7
0.624,1.0,-11.64,1,0.0621,0.904,0.025960101669531634,0.07927318089450787,0.551,51.0,156933.0,4,2
0.513,6.0,-7.185,0,0.0622,0.512,0.16344613607000308,0.19062035960864973,0.698,145.896,190879.99998,4,3
0.533,2.0,-5.27,1,0.0754,0.00876,0.4561582224236825,0.06747171511501267,0.486,108.9,170812.9998,4,10
0.588,7.0,-6.064,1,0.0498,0.116,7.199740812440928e-05,0.2183319943169877,0.263,138.067,249000.0,4,10
0.487,11.0,-4.974,1,0.105,7.47e-05,0.018134570195482695,0.18315454309784648,0.526,139.964,202019.0,4,8
0.621,5.0,-11.8,1,0.0297,0.701,1.1999992800005759e-06,0.11511280710050457,0.508,132.611,219625.0,4,9
0.482,5.0,-5.576,1,0.0437,0.00034,0.16344613607000308,0.32063317259146684,0.739,147.99,212307.0,4,10
0.369,7.0,-5.431,1,0.0318,0.64,0.16344613607000308,0.16889853646181394,0.181,179.597,203991.0,4,9
0.552,9.0,-4.9,0,0.0298,0.00553,0.16344613607000308,0.10795714150509228,0.174,89.993,224053.0,4,6
0.548,7.0,-14.7,0,0.0362,0.771,0.0017484705341168846,0.11689375147149933,0.498,117.75,414213.0,4,3
0.421,8.0,-5.153,0,0.0697,0.000442,0.00021197753117553777,0.09531017980432487,0.455,165.02,261240.0,4,10
0.524,2.0,-8.034,1,0.0415,0.841,0.001179304347193096,0.10526051065749295,0.458,110.964,285472.99997999996,5,0
0.436,10.0,-4.902,0,0.0647,3.33e-05,0.00010399459237492542,0.18647956694261833,0.512,157.044,255080.0,4,1
0.5,-1.0,-7.996,1,0.0345,0.642,0.04983723484717165,0.24373018492259815,0.346,158.809,268400.0,4,10
0.705,9.0,-5.274,0,0.0415,0.00477,0.16344613607000308,0.08544348181746748,0.846,129.98,141875.0,4,10
0.825,9.0,-4.732,0,0.107,0.0833,3.549936988991256e-05,0.23111172096338664,0.812,100.013,176012.0,4,9
0.657,1.0,-9.715,1,0.047,0.000329,0.0004918790076838531,0.27611543608031547,0.738,132.257,188830.0,4,8
0.58,1.0,-5.719,1,0.12,0.0128,0.16344613607000308,0.09712671073072274,0.534,97.917,144267.0,4,8
0.621,9.0,-7.796,0,0.0279,0.000316,0.6168059473032227,0.12575120530556036,0.609,116.011,230152.0,4,6
0.754,3.0,-4.484,0,0.05,0.183,0.524136637825663,0.17142911562753096,0.966,147.998,266133.0,4,1
0.881,4.0,-13.617,0,0.156,0.0257,0.0002569669811571073,0.18813794211539445,0.616,108.863,259427.0,4,5
0.282,9.0,-4.701,1,0.0387,0.12,0.0329511001396859,0.06691070528262688,0.536,190.08,255893.0,4,10
0.449,6.0,-6.602,0,0.123,5.33e-06,0.0001159932725202534,0.1380212978973747,0.389,107.458,129373.0,4,6
0.548,9.0,-6.557,0,0.0273,0.00678,3.8199927038185804e-06,0.09893994785490356,0.191,119.998,224213.0,4,10
0.65,9.0,-10.615,0,0.04,0.0278,0.0012092685399849544,0.5938791789012764,0.795,110.016,180203.0,4,10
0.494,6.0,-2.694,1,0.222,0.172,0.0015787531132146302,0.1380212978973747,0.165,121.214,169808.0,4,10
0.761,5.0,-6.208,0,0.0356,0.68,0.35136084911496357,0.09248801943515139,0.893,113.976,208421.0,4,6
0.553,3.0,-4.04,0,0.0795,0.000833,0.00018098362147631207,0.3393253056036194,0.369,124.984,198840.0,4,8
0.417,-1.0,-12.372,1,0.0599,0.847,4.1799126404344115e-05,0.10705907229340779,0.0914,86.078,221025.0,4,9
0.824,9.0,-5.669,0,0.0692,0.302,0.16344613607000308,0.08498432390499729,0.771,86.815,160250.0,4,1
0.349,4.0,-11.111,1,0.0292,0.723,0.6486726904581158,0.14323416808590783,0.062,112.966,111765.0,5,6
0.921,-1.0,-5.735,1,0.311,0.507,0.0007377278119083085,0.05164323315183845,0.775,103.713,652320.0,4,5
0.601,4.0,-10.469,1,0.0436,0.378,0.5458065926612362,0.3133498192003587,0.862,137.99,305613.0,3,0
0.353,8.0,-11.503,1,0.0344,0.000119,0.0118297517535772,0.12221763272424921,0.567,81.018,360600.0,4,2
0.748,11.0,-6.12,1,0.0349,0.235,0.16344613607000308,0.11243542932978817,0.66,103.953,144532.99998,4,4
0.15,9.0,-8.369,1,0.0439,0.000127,0.406797553341943,0.5098251234324072,0.729,180.034,145932.0,4,1
0.774,2.0,-7.949,1,0.0333,0.743,0.031110995025052664,0.08434114843375087,0.947,136.226,187933.0,4,1
0.373,11.0,-7.925,0,0.0798,0.000152,0.5827741230785748,0.10345870836822998,0.207,83.958,312363.0,4,8
0.42,7.0,-9.069,1,0.0754,0.00028,0.06868615778844692,0.14236724128692196,0.752,120.867,218173.0,4,10
0.428,11.0,-2.975,0,0.443,0.0734,0.16344613607000308,0.11955923505763925,0.423,92.035,168654.0,4,5
0.616,-1.0,-3.004,1,0.0386,0.0459,0.16344613607000308,0.29490591754110057,0.693,144.072,252040.0,4,10
0.797,3.0,-3.818,0,0.0786,0.0904,3.7099931179670215e-06,0.09512834509157728,0.288,129.915,184213.0002,4,9
0.418,9.0,-8.285,1,0.0557,0.295,1.369999061550857e-06,0.3074846997479606,0.467,152.472,298693.0,4,10
0.563,9.0,-5.044,1,0.154,0.335,0.16344613607000308,0.08148781684626795,0.688,166.928,178147.0002,4,9
0.463,11.0,-6.776,0,0.0511,0.0307,0.16344613607000308,0.11064652008706366,0.625,114.962,187783.0,4,9
0.749,4.0,-6.785,1,0.0336,0.0131,3.64993338912086e-05,0.09367247586263518,0.601,123.042,196607.0,4,9
0.709,7.0,-13.14,1,0.106,0.447,0.00016198687941700385,0.6130211360806603,0.387,68.0,320333.0,4,5
0.283,4.0,-14.35,1,0.0423,0.00106,0.2523139286139896,0.10345870836822998,0.0612,91.127,323430.0,4,10
0.653,9.0,-4.261,0,0.0582,0.00316,0.005106937368144673,0.13453089295760615,0.87,126.928,209267.0,4,9
0.45,6.0,-6.741,1,0.0647,0.0106,8.179665456243662e-05,0.09621885774054292,0.336,124.42,208293.0,4,10
0.522,7.0,-5.231,1,0.0847,0.00303,0.00014698919655872425,0.08974929214360808,0.369,130.084,232200.0,4,10
0.266,4.0,-9.07,1,0.0453,0.000862,0.16344613607000308,0.05401458830623825,0.778,175.514,163693.0,4,10
0.754,7.0,-9.793,0,0.0384,0.0186,0.6450068052320104,0.08176430180263963,0.21,122.007,259606.0,4,9
0.562,4.0,-8.13,0,0.0278,0.864,0.02557027611153001,0.14236724128692196,0.383,144.104,215516.0,4,9
0.163,10.0,-20.924,1,0.0365,0.937,0.6724341389624037,0.09175842523954066,0.0335,105.104,220630.0,3,1
0.823,-1.0,-4.698,1,0.103,0.00681,2.6999635506560865e-05,0.23822918873225063,0.956,114.489,228493.0,4,9
0.65,11.0,-6.787,0,0.04,0.278,8.549634508332877e-05,0.11243542932978817,0.74,107.69,218747.0,4,2
0.475,1.0,-4.448,0,0.0622,0.00012,0.10526051065749295,0.19967019512856765,0.554,156.136,246933.0,4,10
0.375,6.0,-5.385,0,0.123,0.000111,8.98995959019219e-06,0.17647114311577905,0.414,183.998,183040.0,4,8
0.713,3.0,-14.163,1,0.54,0.784,0.16344613607000308,0.19227188764712272,0.474,89.267,66490.0,5,5
0.676,10.0,-7.974,1,0.0333,0.51,0.16344613607000308,0.08599419316686092,0.388,88.001,181569.0,4,9
0.667,9.0,-7.246,1,0.069,0.0966,6.939759193141267e-05,0.05097824476462944,0.883,109.535,286219.9998,4,10
0.408,-1.0,-5.247,1,0.129,0.0058,0.4959150110302365,0.29490591754110057,0.16,98.089,152252.0,4,8
0.494,4.0,-7.765,0,0.0511,0.0361,0.00022597446584707325,0.32714314133269456,0.313,145.055,352943.0,4,8
0.425,7.0,-6.246,1,0.105,2.22e-05,0.06980587424396291,0.09285261701461639,0.313,118.066,282978.0,4,8
0.605,1.0,-6.679,0,0.0262,0.298,1.9599807922509804e-05,0.1231021971339834,0.836,129.99,280360.0,4,10
0.586,11.0,-8.71,1,0.258,0.354,0.16344613607000308,0.17142911562753096,0.694,94.101,314600.0,4,5
0.939,11.0,-5.931,1,0.306,0.00152,0.16344613607000308,0.053730322420967785,0.584,130.022,154806.0,4,9
0.472,9.0,-3.938,0,0.0594,0.000617,0.0007127459362577927,0.17142911562753096,0.132,122.326,385920.0,4,10
0.349,2.0,-3.228,0,0.141,2.58e-05,0.16344613607000308,0.29490591754110057,0.207,160.042,202640.0,4,10
0.645,3.0,-5.089,1,0.0453,0.00853,2.6199656785994793e-05,0.1806534996932576,0.708,95.02,162973.00001999998,4,4
0.522,10.0,-5.841,0,0.191,0.104,0.00011399350249380579,0.062317306064861556,0.793,189.803,240307.0,4,10
0.621,2.0,-6.469,1,0.0454,0.282,0.11867152971749864,0.1239859797809912,0.653,143.99,229489.0,4,6
0.597,8.0,-7.482,0,0.282,0.463,0.16344613607000308,0.5068176023684519,0.889,97.923,275520.0,4,9
0.688,7.0,-11.393,0,0.037,0.576,0.0002309733236080853,0.08562708596743704,0.633,135.231,240693.0,4,10
0.614,4.0,-7.497,0,0.0314,0.104,3.589935561042234e-05,0.09893994785490356,0.598,146.03,192679.99998,4,4
0.613,4.0,-4.065,1,0.0425,0.0247,0.16344613607000308,0.36325325929885494,0.638,93.042,177227.0,4,10
0.349,6.0,-15.315,1,0.0529,0.944,0.16344613607000308,0.08286947782229463,0.293,176.177,237955.0002,3,0
0.484,6.0,-6.326,0,0.0383,0.00011,0.5911144549947938,0.11600367575630613,0.399,124.971,265467.0,4,10
0.359,2.0,-3.69,0,0.0864,9.09e-05,3.5399373434786896e-05,0.2889312918522129,0.486,193.042,239560.0,4,10
0.681,8.0,-4.071,1,0.0324,0.214,0.16344613607000308,0.03681397312271631,0.793,109.982,229933.0,4,9
0.274,1.0,-5.259,0,0.167,0.0139,7.369728428843114e-05,0.14928170271575444,0.419,169.161,203707.0,4,10
0.439,4.0,-9.044,1,0.042,0.113,1.0999939500443663e-05,0.6795552270404783,0.345,142.113,260373.0,4,9
0.636,7.0,-9.267,1,0.0589,0.0521,5.139867906526384e-05,0.17563256864315802,0.48,82.99,207030.0,4,10
0.577,5.0,-5.703,1,0.0495,0.000218,0.0005788324441734294,0.39001300354924273,0.637,167.719,263440.0,4,10
0.811,2.0,-5.924,1,0.351,0.0694,0.16344613607000308,0.12221763272424921,0.4,141.937,216373.0,4,5
