Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Yehudit Ravitz,תאר לך (זכרונות חמים),23,0.644,0.575,7,-5.748,1,0.0295,0.702,,0.111,0.163,115.998,208800,4,-1
Post-Party,Wasting Time,39,0.459,0.747,3,-5.439,1,0.0309,0.000956,0.000146,0.104,0.673,89.974,167556,4,-1
Thursday,Standing on the Edge of Summer,43,0.236,0.846,2,-4.534,1,0.0482,0.00011,0.000334,0.0985,0.372,168.702,222040,4,-1
Queen,Another One Bites The Dust - Remastered 2011,82,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,214653,4,10
La Femme,Cool Colorado,54,0.505,0.762,9,-7.15,1,0.0454,0.0415,6.12E-05,0.117,0.477,81.454,232480,4,6
Dry Cleaning,Strong Feelings,52,0.748,0.467,11,-9.253,0,0.0365,0.0208,0.876,0.0656,0.96,130.047,244533,4,-1
Nessa Barrett,la di die (feat. jxdn),80,0.484,0.643,1,-4.72,1,0.0416,0.0036,,0.243,0.345,163.97,195191,4,-1
Robben Ford,Cotton Candy,17,0.843,0.631,5,-6.176,0,0.0548,0.0401,0.00328,0.125,0.894,125.024,235392,4,2
Soulja Boy,She Make It Clap,74,0.941,0.471,1,-13.087,1,0.494,0.0308,0.00838,0.0837,0.487,119.898,111550,4,-1
Jeff Jensen,Fall Apart,27,0.765,0.312,7,-9.578,1,0.0374,0.533,0.017,0.12,0.277,121.957,267358,4,2
Britney Spears,Circus,75,0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,3.206,4,9
Skillet,Feel Invincible,73,0.603,0.886,5,-3.777,0,0.0837,0.00045,,0.26,0.395,126.025,229933,4,10
Dua Lipa,Fever,78,0.868,0.693,6,-7.052,0,0.181,0.0597,0.00399,0.106,0.396,114.999,156911,4,9
The Beatles,I Am The Walrus - Remastered 2009,63,0.401,0.556,2,-10.532,1,0.0513,0.0828,0.000359,0.589,0.654,85.206,275867,4,10
Lola Flores,A Tu Vera,44,0.431,0.381,7,-9.818,1,0.0369,0.643,,0.124,0.57,113.331,208667,4,-1
Unearth,Zombie Autopilot,41,0.258,0.918,11,-5.972,0,0.0701,8.20E-06,0.627,0.413,0.253,93.727,249853,4,8
Yehudit Ravitz,Hakol Beseder - Omri Smadar Remix,35,0.679,0.948,9,-6.095,1,0.0432,0.0355,0.0409,0.0719,0.906,122.988,261132,4,-1
Castaways,"Liar, Liar",40,0.525,0.623,7,-6.253,0,0.0291,0.247,0.742,0.148,0.839,144.583,115925,4,10
Jonas Brothers,Remember This,72,0.669,0.629,1,-5.018,0,0.0803,0.217,,0.366,0.294,110.865,2.97036667,4,-1
Mr. Oizo,Gay Dentists,25,0.736,0.97,1,-4.955,1,0.128,0.000228,0.0104,0.148,0.703,128.59,218493,4,-1
Ravid Plotnik,מלך הראפ של המזרח התיכון (נצ'י נצ'),37,0.634,0.739,3,-6.08,1,0.433,0.141,,0.82,0.761,146.296,289213,4,-1
Pageants,Cacti For Clothes,41,0.6,0.779,,-8.143,1,0.0326,0.353,0.158,0.104,0.595,119.053,182907,4,10
Celestial Teapot,Change Is Constant,16,0.381,0.404,7,-12.227,1,0.0324,0.314,0.916,0.112,0.0739,108.029,404696,4,10
yes/and,Ugly Orange,16,0.556,0.234,2,-16.707,1,0.0457,0.982,0.91,0.0844,0.395,108.8,259725,3,-1
Eyal Golan,עושה עם העיניים,36,0.648,0.444,5,-8.598,1,0.0373,0.738,,0.132,0.288,90.958,177033,4,-1
Sam Ezeh,Sapphire Alley,47,0.675,0.622,10,-6.251,1,0.0234,0.247,0.45,0.107,0.662,108.002,202778,4,1
Albert Collins,T-Bone Shuffle,51,0.537,0.695,11,-9.88,1,0.0377,0.00393,0.188,0.084,0.77,131.307,295693,4,2
Popa Chubby,Sweet Goddess of Love and Beer,33,0.683,0.684,9,-7.296,1,0.0515,0.257,0.000341,0.135,0.854,110.426,279640,4,2
T. Rex,Cosmic Dancer,58,0.363,0.803,,-8.089,1,0.06,0.0117,0.00601,0.189,0.718,156.047,266533,4,10
Miri Mesika,מלך,28,0.456,0.608,,-5.562,1,0.0437,0.304,,0.0833,0.296,81.498,196663,4,-1
Zuli Jr.,Two,33,0.643,0.467,2,-5.503,1,0.0332,0.248,3.86E-06,0.105,0.784,171.937,206693,3,-1
Harish Sivaramakrishnan,Malhar Jam,32,0.448,0.686,2,-7.411,1,0.0406,0.146,1.38E-05,0.107,0.228,123.641,6.145783333,4,9
Talia Goddess,Never Wanna Fall,31,0.467,0.51,6,-10.471,1,0.103,0.16,0.000275,0.136,0.557,100.832,281538,3,1
Sila Lua,La Mano,31,0.519,0.366,8,-14.319,1,0.0497,0.598,,0.117,0.372,79.789,191748,4,-1
Marmozets,Play,39,0.38,0.982,,-3.287,1,0.15,0.000266,0.000309,0.366,0.168,161.095,204933,4,-1
Lonnie Brooks,Greasy Man,20,0.723,0.354,5,-15.958,1,0.0382,0.55,0.339,0.115,0.842,81.47,356773,4,2
Blu DeTiger,Toast with the Butter,48,0.652,0.702,,-5.791,1,0.184,0.514,0.0014,0.358,0.623,151.989,206147,4,-1
Jon Batiste,CRY,52,0.738,0.507,9,-6.991,0,0.0272,0.229,0.00151,0.0724,0.7,80.015,237244,4,-1
Aisha Badru,Mind on Fire,49,0.345,0.132,7,-13.633,1,0.052,0.865,0.0144,0.114,0.0414,208.648,194320,4,-1
Bombino,Iyat Ninhay / Jaguar (A Great Desert I Saw),40,0.215,0.832,11,-6.76,0,0.0504,0.000958,0.272,0.519,0.668,78.063,367185,4,-1
The Avalanches,The Divine Chord,62,0.557,0.863,,-5.321,0,0.0391,0.104,,0.697,0.373,105.362,187587,4,-1
Omer Adam,קוקוריקו,51,0.787,0.497,10,-7.728,0,0.0396,0.56,,0.304,0.504,111.991,171000,4,-1
Cake,War Pigs,57,0.581,0.566,5,-8.169,0,0.0357,0.00698,2.93E-06,0.0968,0.449,83.904,234013,4,1
BENEE,If I Get To Meet You,,0.68,0.683,2,-7.098,1,0.0634,0.499,0.0607,0.0786,0.807,157.08,182336,4,-1
GRAZER,Nostalgia Seed,35,0.46,0.853,11,-9.045,1,0.0385,0.118,0.808,0.194,0.578,159.026,181321,4,9
Busta Rhymes,True Indeed,42,0.417,0.945,2,-2.639,1,0.357,0.000367,,0.249,0.805,177.645,113120,4,5
Dolly Ave,Waiting for You,21,0.161,0.261,3,-10.281,1,0.0305,0.925,0.0106,0.184,0.085,66.909,204743,3,-1
Queensrÿche,Empire - Remastered 2003,49,0.315,0.895,2,-4.519,1,0.0924,0.00216,1.32E-05,0.0596,0.432,79.628,324067,4,-1
Lewis Del Mar,Painting (Masterpiece),56,0.726,0.861,6,-5.167,1,0.0695,0.277,4.12E-06,0.0534,0.711,91.966,243413,4,-1
Elizabeth,parties,37,0.336,0.543,2,-8.483,0,0.0544,0.171,4.24E-06,0.0661,0.258,136.92,208553,4,9
The Velvet Underground,Sweet Jane,63,0.619,0.637,2,-7.369,1,0.0286,0.015,,0.374,0.936,105.205,246307,4,10
Tyla Yaweh,Stuntin' On You (feat. DDG & Dame D.O.L.L.A.) - Remix,61,0.816,0.669,8,-5.943,1,0.3,0.00928,1.77E-06,0.124,0.774,173.936,183141,4,-1
Fangclub,Vulture Culture,45,0.293,0.917,9,-6.104,1,0.074,1.28E-05,0.238,0.435,0.504,180.146,199077,4,-1
JDM Global,Cake,20,0.727,0.801,10,-6.562,1,0.0307,0.251,0.817,0.0838,0.928,121.032,167603,4,-1
Black Peaks,Electric Fires,27,0.31,0.989,7,-3.876,1,0.104,0.000607,0.000769,0.328,0.146,181.958,201718,3,8
The Wrecks,Fvck Somebody,54,0.533,0.661,6,-5.196,0,0.0418,0.0239,2.45E-06,0.347,0.603,142.079,181013,4,-1
"Kenny Rogers, Dolly Parton",Islands In The Stream,,0.589,0.641,8,-5.533,1,0.0313,0.427,,0.0558,0.795,204.003,4.164666667,4,4
MISSIO,Middle Fingers,50,0.517,0.553,1,-5.135,1,0.0329,0.000104,3.70E-06,0.133,0.0775,139.26,215200,4,-1
DaVido,Jowo,63,0.552,0.656,10,-4.941,1,0.204,0.706,1.25E-05,0.0744,0.804,67.379,176471,3,9
Half Me,Exitwound,32,0.483,0.974,8,-2.832,1,0.159,0.000114,,0.966,0.327,93.455,209197,4,8
The Flaming Lips,"Yoshimi Battles the Pink Robots, Pt. 1",61,0.555,0.902,,-7.918,1,0.0958,0.337,,0.152,0.62,156.108,287507,4,-1
Snow Patrol,Chasing Cars,70,0.56,0.595,9,-4.53,1,0.0274,0.199,6.47E-05,0.132,0.144,104.011,267960,4,-1
Yot Club,YKWIM?,75,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,212750,3,9
Nickelback,Rockstar,70,0.616,0.91,,-3.004,1,0.0386,0.0459,,0.343,0.693,144.072,252040,4,10
Blondie,Rapture,46,0.722,0.7,11,-8.241,0,0.05,0.111,0.00318,0.545,0.946,107.505,299293,4,-1
Michael Burks,Thank God For Fools,10,0.671,0.86,7,-5.381,1,0.0339,0.033,0.001,0.342,0.765,113.028,254000,4,2
George Thorogood,I Got My Eyes On You,41,0.405,0.905,2,-2.572,1,0.0327,5.43E-05,0.0501,0.235,0.705,157.228,214067,4,10
Courting,Crass,35,0.434,0.837,6,-6.69,1,0.149,0.00598,,0.0895,0.843,131.906,173760,4,-1
Peter Netz,Come Join Me For A Coffee,24,0.667,0.103,9,-16.431,1,0.0654,0.973,0.943,0.0915,0.364,61.758,3.073516667,4,-1
The Who,Love Ain't For Keeping,44,0.554,0.818,2,-6.864,1,0.0362,0.0779,0.0106,0.341,0.512,142.339,130720,4,10
Public Image Ltd.,Rise,52,0.533,0.739,7,-9.361,1,0.0561,0.00299,3.69E-06,0.475,0.636,86.345,378373,4,-1
Grindpad,The Knife Is Sharper Than Ever,17,0.211,0.983,,-3.79,1,0.187,6.51E-06,0.0116,0.127,0.263,171.662,305160,4,8
Citizen,I Want to Kill You,50,0.584,0.876,10,-3.635,0,0.0652,0.00698,0.0002,0.0895,0.703,149.976,192107,4,9
Of Mice & Men,Timeless,52,0.529,0.944,8,-7.203,1,0.0881,8.05E-05,0.0389,0.104,0.133,115.002,246500,4,8
Muddy Waters,Dealin' With the Devil,36,0.365,0.713,2,-6.984,1,0.114,0.597,2.07E-05,0.971,0.324,82.434,470413,4,2
Black Rebel Motorcycle Club,Spread Your Love,61,0.415,0.901,2,-3.124,1,0.0428,0.00987,0.361,0.136,0.424,128.216,225333,4,10
Eliad,מיאמי,36,0.652,0.718,4,-6.123,0,0.0434,0.0509,1.32E-06,0.105,0.595,172.1,217240,4,-1
Silverstein,Madness,44,0.385,0.922,5,-4.705,0,0.107,0.000131,,0.246,0.501,170.131,218280,4,8
Bleached,Hard to Kill,47,0.725,0.695,,-6.934,1,0.0288,0.000697,0.00161,0.233,0.86,127.523,206160,4,10
Dashboard Confessional,Hands Down,62,0.463,0.827,3,-4.085,1,0.0437,0.013,2.41E-05,0.0964,0.26,94.035,186867,4,9
"Florida Georgia Line, Luke Bryan",This Is How We Roll,71,0.555,0.931,8,-2.969,1,0.0367,0.016,,0.405,0.723,132.085,3.681783333,4,4
Willie Dixon,I Can't Quit You Baby,50,0.469,0.236,7,-16.981,1,0.0364,0.407,0.0434,0.215,0.415,82.232,399173,4,2
Battering Ram,Pieces,29,0.553,0.941,7,-5.312,1,0.073,0.000226,0.000465,0.127,0.5,108.735,222155,3,-1
Mannequin Pussy,Control,47,0.354,0.877,11,-4.817,1,0.065,0.00501,0.0245,0.348,0.388,129.879,195130,4,6
Goldpark,Wild Love,,0.568,0.591,9,-6.323,1,0.035,0.000439,0.00366,0.0892,0.367,119.911,204766,4,-1
Fontaines D.C.,Big,45,0.5,0.947,4,-3.602,1,0.0452,0.044,,0.205,0.966,181.834,105516,4,-1
"Ludwig van Beethoven, Anne-Sophie Mutter, Yo-Yo Ma, Daniel Barenboim, West-Eastern Divan Orchestra","Triple Concerto in C Major, Op. 56: 2. Largo - attacca - Live at Philharmonie, Berlin / 2019",25,0.148,0.0978,8,-22.617,1,0.0407,0.787,0.755,0.145,0.039,89.658,5.279066667,4,-1
Gavin DeGraw,I Don't Want to Be,64,0.423,0.862,,-5.13,0,0.0695,0.00791,,0.133,0.462,154.746,217760,4,-1
Meek Mill,Otherside Of America,60,0.73,0.772,5,-3.883,0,0.316,0.0878,,0.401,0.403,147.053,218103,4,-1
Little Feat,Dixie Chicken - Live,30,0.488,0.674,9,-8.366,1,0.0497,0.225,0.00156,0.728,0.724,146.566,533667,4,10
System Of A Down,Lonely Day,60,0.458,0.783,8,-3.226,0,0.0322,0.346,6.14E-06,0.13,0.224,113.072,167907,3,8
Alaska Reid,Mermaid Tears - Midnight,28,0.348,0.368,2,-11.761,1,0.046,0.843,0.00218,0.399,0.0488,140.122,200571,4,-1
Yuno,No Going Back,61,0.714,0.708,2,-5.524,0,0.027,0.0112,0.0141,0.0609,0.902,93.005,208200,4,-1
Nation of Language,The Wall & I,46,0.558,0.876,6,-5.625,1,0.0288,0.0244,0.293,0.0971,0.448,141.995,304714,4,9
Middle Child,Burn Out,37,0.743,0.479,,-8.737,1,0.0757,0.581,3.23E-05,0.11,0.29,139.954,231125,4,-1
Beach Bunny,Ms. California,51,0.582,0.859,4,-3.943,1,0.0399,0.000209,0.125,0.0841,0.61,121.968,172037,4,-1
Mae,Embers And Envelopes,46,0.554,0.82,7,-6.156,1,0.0486,0.114,1.87E-06,0.204,0.372,120.893,258107,3,1
HEALTH,ISN’T EVERYONE,63,0.459,0.698,2,-8.079,0,0.051,0.0294,0.777,0.139,0.165,147.954,314719,4,-1
Ritchie Valens,"Come On, Let's Go",55,0.616,0.724,9,-8.101,1,0.042,0.788,3.16E-06,0.128,0.809,81.402,2.07645,3,10
King Gizzard & The Lizard Wizard,East West Link,50,0.461,0.75,,-8.688,0,0.0436,0.0243,0.451,0.116,0.798,166.019,188786,4,10
Editors,An End Has A Start,54,0.349,0.923,6,-2.432,0,0.0539,1.95E-05,0.111,0.336,0.535,149.904,225533,4,-1
JP Cooper,September Song - Guitar Acoustic,,0.41,0.428,,-7.927,0,0.0329,0.359,,0.138,0.526,88.361,3.53588333,4,-1
Mohammed Rafi,Zindagi To Bewafa Hai,24,0.269,0.342,,-8.632,0,0.0301,0.936,2.04E-06,0.109,0.143,80.073,2.689066667,4,9
"Kid Rock, Sheryl Crow",Picture (feat. Sheryl Crow),69,0.692,0.496,7,-7.332,1,0.0241,0.172,6.42E-06,0.107,0.376,97.945,4.982666667,4,-1
Vijay Prakash,Tandanana - Brahmam Okate,17,0.414,0.585,1,-7.315,1,0.0879,0.768,,0.0897,0.742,168.025,5.327783333,3,9
A. Nayaka,4OAK,45,0.753,0.761,5,-5.735,0,0.153,0.312,,0.077,0.805,147.05,182857,4,-1
Rage Against The Machine,Take The Power Back,60,0.62,0.912,1,-4.011,1,0.221,0.0728,7.15E-05,0.249,0.291,106.236,336440,4,8
Dana Williams,Worst In Me,33,0.586,0.332,,-12.445,1,0.0407,0.71,0.0421,0.0782,0.269,95.996,236187,4,-1
Embrace,All You Good Good People,48,0.232,0.719,11,-6.255,1,0.0428,0.000118,0.000226,0.119,0.323,165.906,366267,4,9
הגל השני,הנחיות חדשות,29,0.644,0.79,10,-8.658,0,0.0529,0.139,0.00156,0.155,0.657,80.021,217276,4,-1
Dream State,Primrose,50,0.449,0.92,11,-5.601,0,0.0837,0.00286,1.64E-05,0.337,0.208,145.976,264457,4,8
Charley Pride,Kiss an Angel Good Mornin',49,0.684,0.498,4,-10.836,1,0.03,0.708,,0.365,0.905,131.855,2.052216667,4,4
Zero Theorem,Threat - Remix,,0.402,0.968,4,-3.42,0,0.0869,0.00369,1.12E-05,0.219,0.337,176.048,208542,4,-1
Buddy Guy,She's Got The Devil In Her,33,0.441,0.9,8,-4.03,1,0.095,0.0109,0.462,0.253,0.465,119.141,310729,3,2
Ekin Fil,The Reckoning,21,0.142,0.0664,7,-25.04,1,0.0467,0.871,0.942,0.102,0.0388,145.565,312000,1,-1
Keb' Mo',For Better or Worse,32,0.558,0.322,7,-11.802,1,0.0343,0.754,0.0017,0.11,0.286,73.868,205107,4,2
The Lumineers,Ophelia,56,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,2.66828333,4,0
Tommy Genesis,Tommy,51,0.716,0.855,1,-7.856,1,0.0488,0.00287,0.00593,0.268,0.377,138.008,162481,4,-1
Ziggy Marley,True To Myself,64,0.88,0.564,1,-6.431,1,0.0498,0.0786,,0.0565,0.83,99.019,225600,4,-1
What A Day - Edit,Ben Howard,20,0.663,0.434,7,-9.03,1,0.0278,0.539,0.0732,0.0906,0.593,136.018,4.296216667,4,-1
Dua Lipa,Break My Heart,82,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39E-06,0.349,0.467,113.013,221820,4,9
Noah Cunane,F*CK ABOUT IT,49,0.364,0.936,9,-4.281,1,0.146,0.000626,2.50E-06,0.427,0.579,180.191,100608,4,-1
LCD Soundsystem,Daft Punk Is Playing at My House,60,0.92,0.914,7,-4.555,1,0.0444,0.0222,7.62E-05,0.114,0.974,135.923,314557,4,1
Etti Ankri,רואה לך בעיניים,32,0.543,0.323,9,-13.399,1,0.0266,0.0546,1.57E-06,0.136,0.222,138.349,322000,4,-1
DEAR MOTHER,Satellite,41,0.469,0.86,1,-7.417,1,0.0591,3.95E-05,0.0452,0.152,0.245,122.027,210240,4,-1
3d Blast,3rD BEST,32,0.377,0.773,4,-7.417,1,0.0732,0.0481,0.00263,0.87,0.548,119.883,242817,4,-1
Layla Zoe,Gemini Heart,37,0.469,0.445,10,-8.452,1,0.0286,0.682,0.000716,0.119,0.237,107.865,370760,3,2
Westlife,Pictures In My Head,,0.647,0.677,,-4.108,1,0.0285,0.22,,0.105,0.436,109.955,4.234883333,4,-1
Novocaine,Codeine,24,0.333,0.88,4,-7.791,1,0.065,0.0023,0.00147,0.127,0.266,168.138,283250,4,-1
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight) - Live,36,0.364,0.776,,-9.849,1,0.0557,0.00979,0.00127,0.837,0.459,127.926,5.580216667,4,-1
Spank Rock,Bump - Switch Remix,16,0.777,0.693,1,-10.473,1,0.439,0.246,0.0139,0.249,0.485,126.005,447000,4,-1
Kenny Wayne Shepherd,Nothing But The Night,32,0.688,0.756,4,-6.046,0,0.0323,0.164,0.00267,0.121,0.883,110.981,293507,4,2
Catfish and the Bottlemen,Pacifier,59,0.459,0.883,9,-4.1,1,0.0476,0.000491,0.0267,0.118,0.338,147.943,237533,4,6
Emma-Jean Thackray,Say Something,44,0.419,0.608,10,-9.957,0,0.054,0.798,0.0476,0.129,0.341,125.144,229500,1,6
Half Your Love,Bahamas,59,0.73,0.249,9,-9.888,0,0.0344,0.886,,0.096,0.332,132.007,2.403116667,4,-1
